Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,11304.599609,11456.099609,11272.299805,11441.599609,11441.599609,139604800
2006-01-04,11409.000000,11505.500000,11384.700195,11501.500000,11501.500000,164030000
2006-01-05,11475.000000,11507.700195,11447.200195,11507.700195,11507.700195,149329700
2006-01-06,11547.700195,11646.900391,11507.700195,11620.500000,11620.500000,182804300
2006-01-09,11618.400391,11640.500000,11565.200195,11565.200195,11565.200195,196623900
2006-01-10,11568.299805,11601.599609,11538.400391,11597.599609,11597.599609,192399200
2006-01-11,11606.500000,11639.500000,11585.900391,11621.000000,11621.000000,170987600
2006-01-12,11649.799805,11688.900391,11582.000000,11595.200195,11595.200195,167230200
2006-01-13,11586.700195,11644.900391,11576.099609,11604.799805,11604.799805,186601900
2006-01-16,11627.200195,11721.000000,11604.799805,11721.000000,11721.000000,94804300
2006-01-17,11713.500000,11721.000000,11668.700195,11689.599609,11689.599609,210372900
2006-01-18,11615.099609,11689.599609,11501.799805,11554.500000,11554.500000,181406400
2006-01-19,11609.900391,11698.700195,11554.500000,11693.000000,11693.000000,158597100
2006-01-20,11734.599609,11760.299805,11605.700195,11605.700195,11605.700195,178318300
2006-01-23,11598.099609,11749.000000,11597.700195,11733.400391,11733.400391,196537100
2006-01-24,11729.299805,11767.900391,11688.700195,11692.400391,11692.400391,177330800
2006-01-25,11747.099609,11800.200195,11653.000000,11675.200195,11675.200195,167860900
2006-01-26,11712.299805,11752.900391,11625.900391,11737.400391,11737.400391,190720700
2006-01-27,11803.700195,11869.799805,11737.400391,11856.799805,11856.799805,161820700
2006-01-30,11875.099609,11971.200195,11856.799805,11947.500000,11947.500000,159973100
2006-01-31,11922.700195,12000.000000,11911.400391,11945.599609,11945.599609,206572000
2006-02-01,11962.799805,12012.700195,11938.500000,11952.099609,11952.099609,239757000
2006-02-02,11969.700195,11980.500000,11880.799805,11929.900391,11929.900391,224636200
2006-02-03,11913.799805,11953.000000,11860.400391,11937.599609,11937.599609,179048800
2006-02-06,11956.099609,12080.500000,11937.599609,12080.500000,12080.500000,156121500
2006-02-07,12029.099609,12080.500000,11806.700195,11817.299805,11817.299805,203741800
2006-02-08,11804.200195,11820.099609,11663.299805,11735.099609,11735.099609,244409200
2006-02-09,11830.599609,11876.200195,11709.299805,11709.299805,11709.299805,203752200
2006-02-10,11710.599609,11757.500000,11563.900391,11651.700195,11651.700195,169523200
2006-02-13,11617.700195,11651.700195,11488.000000,11519.500000,11519.500000,181036200
2006-02-14,11504.700195,11624.099609,11458.400391,11616.400391,11616.400391,184992900
2006-02-15,11642.500000,11747.700195,11545.400391,11557.299805,11557.299805,190900100
2006-02-16,11565.799805,11709.900391,11557.299805,11704.299805,11704.299805,197784900
2006-02-17,11758.000000,11758.000000,11758.000000,11758.000000,11758.000000,140536600
2006-02-20,11813.099609,11883.099609,11758.000000,11865.799805,11865.799805,93259500
2006-02-21,11826.400391,11826.400391,11826.400391,11826.400391,11826.400391,160982200
2006-02-22,11783.099609,11826.400391,11744.900391,11800.200195,11800.200195,176251600
2006-02-23,11767.299805,11811.299805,11738.599609,11738.599609,11738.599609,174197700
2006-02-24,11813.900391,11841.299805,11738.599609,11810.599609,11810.599609,167747600
2006-02-27,11754.299805,11810.599609,11704.500000,11706.500000,11706.500000,132761700
2006-02-28,11688.099609,11716.599609,11594.599609,11688.299805,11688.299805,186722900
2006-03-01,11694.700195,11808.500000,11686.299805,11794.599609,11794.599609,170905800
2006-03-02,11833.799805,11906.900391,11794.599609,11906.900391,11906.900391,220239600
2006-03-03,11881.000000,12004.299805,11866.400391,11978.700195,11978.700195,160548300
2006-03-06,11972.700195,11988.000000,11847.200195,11883.299805,11883.299805,166341600
2006-03-07,11864.299805,11883.299805,11755.000000,11816.500000,11816.500000,167739700
2006-03-08,11746.900391,11881.200195,11649.400391,11737.099609,11737.099609,179633000
2006-03-09,11793.500000,11851.599609,11737.099609,11765.299805,11765.299805,162560600
2006-03-10,11735.700195,11880.299805,11721.900391,11833.599609,11833.599609,190081200
2006-03-13,11906.700195,11906.700195,11906.700195,11906.700195,11906.700195,131931000
2006-03-14,11894.200195,12018.299805,11885.599609,11973.299805,11973.299805,168498400
2006-03-15,12055.599609,12055.599609,12055.599609,12055.599609,12055.599609,158354800
2006-03-16,12053.200195,12121.000000,12044.799805,12085.700195,12085.700195,146809200
2006-03-17,12000.700195,12000.700195,12000.700195,12000.700195,12000.700195,249949800
2006-03-20,12009.599609,12087.700195,11929.299805,11929.299805,11929.299805,140240600
2006-03-21,11901.000000,12004.900391,11871.700195,11947.599609,11947.599609,149470100
2006-03-22,11920.500000,11983.700195,11903.000000,11970.700195,11970.700195,146222400
2006-03-23,11980.700195,12027.799805,11946.799805,12017.900391,12017.900391,155769900
2006-03-24,12037.799805,12121.700195,12017.900391,12111.099609,12111.099609,142397000
2006-03-27,12097.000000,12122.799805,12064.400391,12078.500000,12078.500000,185124800
2006-03-28,12082.799805,12140.599609,12048.799805,12048.799805,12048.799805,174210200
2006-03-29,12063.200195,12195.500000,12048.799805,12190.599609,12190.599609,188498500
2006-03-30,12224.400391,12287.500000,12190.599609,12207.000000,12207.000000,210090300
2006-03-31,12155.000000,12207.000000,12065.500000,12110.599609,12110.599609,191871500
2006-04-03,12200.700195,12299.000000,12110.599609,12210.900391,12210.900391,184885900
2006-04-04,12220.299805,12221.799805,12143.500000,12174.099609,12174.099609,235333600
2006-04-05,12184.599609,12304.799805,12174.099609,12299.099609,12299.099609,172950200
2006-04-06,12339.500000,12352.500000,12258.200195,12342.000000,12342.000000,205613000
2006-04-07,12270.299805,12342.000000,12212.599609,12241.200195,12241.200195,164683300
2006-04-10,12280.099609,12302.900391,12241.200195,12289.700195,12289.700195,153001700
2006-04-11,12310.700195,12342.700195,12165.200195,12177.299805,12177.299805,186017800
2006-04-12,12200.299805,12224.700195,12167.700195,12167.700195,12167.700195,167915900
2006-04-13,12178.700195,12248.599609,12123.299805,12248.599609,12248.599609,180177400
2006-04-17,12280.900391,12335.400391,12248.599609,12309.000000,12309.000000,128165500
2006-04-18,12338.099609,12464.500000,12309.000000,12446.799805,12446.799805,186418300
2006-04-19,12441.200195,12494.700195,12412.599609,12487.299805,12487.299805,177933900
2006-04-20,12468.500000,12487.299805,12296.500000,12313.700195,12313.700195,197653000
2006-04-21,12364.099609,12440.500000,12313.700195,12437.200195,12437.200195,167917000
2006-04-24,12418.099609,12437.200195,12338.299805,12342.200195,12342.200195,145236100
2006-04-25,12395.799805,12425.700195,12297.099609,12329.799805,12329.799805,181365300
2006-04-26,12364.099609,12385.400391,12315.799805,12321.700195,12321.700195,182457300
2006-04-27,12243.599609,12321.700195,12158.799805,12187.700195,12187.700195,216584200
2006-04-28,12219.400391,12250.900391,12187.700195,12204.200195,12204.200195,171843100
